p,max_size,num_components,sizes
1e-05,4,9511,"{1: 9066, 3: 38, 2: 404, 4: 3}"
1e-05,4,9527,"{1: 9104, 2: 381, 3: 34, 4: 8}"
1e-05,4,9464,"{1: 8985, 2: 429, 3: 43, 4: 7}"
1e-05,4,9500,"{1: 9045, 2: 417, 3: 31, 4: 7}"
1e-05,4,9500,"{1: 9048, 2: 410, 3: 36, 4: 6}"
1e-05,4,9500,"{1: 9052, 2: 400, 4: 4, 3: 44}"
1e-05,4,9509,"{1: 9062, 2: 407, 3: 36, 4: 4}"
1e-05,4,9467,"{1: 8980, 3: 32, 2: 448, 4: 7}"
1e-05,5,9527,"{1: 9094, 2: 400, 4: 3, 3: 28, 5: 2}"
1e-05,4,9518,"{1: 9067, 2: 421, 3: 29, 4: 1}"
2e-05,7,9045,"{1: 8268, 2: 649, 4: 29, 3: 91, 7: 1, 6: 3, 5: 4}"
2e-05,7,8994,"{1: 8182, 2: 669, 3: 111, 5: 9, 7: 2, 4: 19, 6: 2}"
2e-05,6,9019,"{1: 8216, 4: 19, 3: 115, 2: 661, 5: 7, 6: 1}"
2e-05,5,9031,"{1: 8234, 5: 12, 2: 669, 3: 96, 4: 20}"
2e-05,6,8990,"{1: 8168, 2: 680, 3: 107, 5: 5, 4: 27, 6: 3}"
2e-05,8,9056,"{1: 8293, 2: 634, 4: 30, 3: 90, 5: 7, 8: 1, 6: 1}"
2e-05,7,8950,"{1: 8099, 2: 700, 3: 116, 4: 27, 5: 5, 6: 1, 7: 2}"
2e-05,6,9000,"{1: 8179, 2: 682, 3: 110, 4: 21, 6: 3, 5: 5}"
2e-05,6,8933,"{1: 8081, 3: 119, 4: 29, 2: 692, 5: 10, 6: 2}"
2e-05,5,8999,"{1: 8161, 2: 707, 3: 107, 4: 16, 5: 8}"
3e-05,8,8516,"{1: 7432, 2: 821, 3: 172, 4: 62, 6: 6, 5: 18, 7: 4, 8: 1}"
3e-05,7,8538,"{1: 7434, 2: 849, 3: 181, 4: 53, 5: 15, 6: 4, 7: 2}"
3e-05,8,8466,"{1: 7374, 2: 804, 8: 4, 4: 58, 3: 196, 6: 8, 5: 18, 7: 4}"
3e-05,8,8535,"{1: 7445, 2: 845, 4: 46, 7: 4, 3: 167, 5: 18, 6: 9, 8: 1}"
3e-05,8,8509,"{1: 7416, 2: 821, 4: 56, 7: 3, 3: 189, 6: 7, 5: 16, 8: 1}"
3e-05,9,8489,"{1: 7379, 4: 52, 2: 861, 3: 160, 5: 23, 6: 6, 8: 2, 7: 5, 9: 1}"
3e-05,10,8475,"{1: 7363, 2: 853, 3: 161, 5: 26, 4: 62, 6: 6, 10: 1, 8: 1, 7: 1, 9: 1}"
3e-05,10,8497,"{1: 7399, 2: 826, 3: 189, 4: 54, 5: 16, 7: 2, 8: 1, 10: 1, 6: 9}"
3e-05,11,8480,"{1: 7384, 2: 829, 3: 180, 4: 50, 6: 5, 7: 8, 5: 21, 8: 2, 11: 1}"
3e-05,9,8529,"{1: 7446, 2: 824, 3: 185, 5: 16, 4: 44, 6: 8, 9: 1, 8: 3, 7: 2}"
4e-05,15,8010,"{1: 6708, 2: 909, 3: 237, 4: 88, 5: 36, 15: 1, 10: 2, 8: 5, 9: 1, 7: 9, 6: 14}"
4e-05,9,8000,"{1: 6693, 6: 25, 4: 71, 2: 915, 3: 235, 5: 49, 7: 6, 8: 3, 9: 3}"
4e-05,14,7929,"{1: 6584, 2: 933, 4: 85, 3: 249, 5: 47, 6: 18, 9: 1, 7: 3, 11: 2, 14: 1, 8: 3, 10: 3}"
4e-05,13,7935,"{1: 6619, 2: 901, 8: 5, 3: 242, 5: 34, 6: 16, 4: 100, 9: 1, 7: 12, 13: 1, 10: 3, 11: 1}"
4e-05,10,7950,"{1: 6630, 2: 896, 5: 44, 3: 261, 4: 84, 6: 21, 9: 4, 7: 5, 10: 1, 8: 4}"
4e-05,17,8004,"{1: 6698, 2: 897, 4: 89, 3: 257, 5: 34, 8: 4, 7: 9, 6: 12, 17: 1, 9: 3}"
4e-05,11,8069,"{1: 6790, 3: 226, 2: 908, 5: 39, 4: 74, 7: 7, 10: 1, 6: 17, 9: 5, 8: 1, 11: 1}"
4e-05,12,8008,"{1: 6705, 5: 43, 4: 84, 3: 228, 6: 15, 2: 916, 7: 11, 12: 2, 11: 1, 9: 2, 8: 1}"
4e-05,15,8054,"{1: 6762, 13: 1, 6: 14, 2: 919, 5: 35, 4: 87, 3: 223, 7: 8, 8: 2, 12: 2, 15: 1}"
4e-05,14,7997,"{1: 6679, 5: 35, 3: 248, 2: 922, 4: 76, 7: 5, 6: 25, 9: 1, 8: 3, 10: 1, 14: 1, 12: 1}"
5e-05,28,7489,"{1: 6061, 3: 274, 11: 4, 2: 926, 7: 17, 28: 1, 4: 113, 17: 1, 12: 1, 6: 23, 5: 46, 9: 5, 13: 2, 8: 7, 10: 5, 20: 1, 14: 2}"
5e-05,16,7446,"{1: 5998, 3: 280, 2: 920, 7: 13, 4: 123, 6: 29, 5: 56, 10: 5, 14: 1, 8: 7, 9: 5, 11: 3, 15: 2, 13: 1, 16: 2, 12: 1}"
5e-05,22,7488,"{1: 6057, 2: 934, 6: 27, 10: 8, 4: 112, 5: 48, 3: 261, 8: 13, 9: 6, 7: 16, 22: 1, 17: 1, 12: 2, 13: 1, 16: 1}"
5e-05,14,7557,"{1: 6170, 3: 294, 5: 38, 2: 866, 11: 4, 4: 114, 7: 18, 6: 30, 8: 9, 13: 3, 14: 1, 9: 7, 10: 2, 12: 1}"
5e-05,13,7487,"{1: 6041, 2: 928, 3: 276, 4: 121, 6: 33, 13: 4, 12: 1, 8: 9, 5: 48, 9: 5, 11: 4, 7: 14, 10: 3}"
5e-05,16,7527,"{1: 6117, 5: 50, 2: 891, 7: 17, 3: 285, 4: 112, 12: 4, 14: 1, 16: 1, 6: 30, 10: 5, 11: 1, 9: 6, 8: 7}"
5e-05,25,7475,"{1: 6070, 9: 8, 2: 889, 7: 19, 3: 301, 4: 86, 6: 29, 11: 6, 12: 1, 5: 48, 22: 1, 14: 2, 18: 1, 25: 1, 10: 3, 8: 9, 13: 1}"
5e-05,18,7565,"{1: 6166, 6: 30, 4: 104, 5: 47, 2: 907, 3: 266, 13: 3, 7: 16, 8: 13, 11: 2, 10: 6, 9: 4, 18: 1}"
5e-05,16,7522,"{1: 6083, 3: 298, 6: 26, 5: 57, 4: 103, 2: 917, 7: 17, 8: 6, 13: 3, 9: 5, 15: 1, 16: 1, 11: 2, 10: 2, 12: 1}"
5e-05,15,7473,"{1: 6042, 6: 27, 2: 929, 3: 263, 5: 56, 4: 106, 7: 25, 11: 6, 8: 4, 12: 2, 15: 3, 10: 5, 9: 3, 13: 2}"
6e-05,27,6939,"{1: 5432, 2: 885, 7: 29, 5: 71, 4: 136, 8: 21, 13: 2, 3: 298, 9: 15, 10: 7, 17: 1, 18: 1, 12: 5, 6: 26, 11: 4, 14: 1, 15: 2, 27: 1, 21: 1, 16: 1}"
6e-05,26,7015,"{1: 5570, 3: 282, 4: 129, 2: 843, 6: 43, 14: 1, 5: 64, 9: 17, 8: 14, 15: 2, 7: 24, 12: 5, 16: 1, 13: 1, 11: 6, 20: 1, 10: 9, 19: 1, 17: 1, 26: 1}"
6e-05,23,6998,"{1: 5457, 4: 117, 2: 935, 6: 43, 8: 15, 7: 26, 3: 308, 12: 7, 5: 63, 9: 9, 11: 6, 10: 2, 13: 4, 23: 1, 16: 1, 14: 2, 18: 2}"
6e-05,29,6981,"{1: 5489, 2: 904, 5: 65, 6: 42, 9: 9, 4: 128, 3: 268, 12: 4, 10: 13, 8: 17, 7: 26, 16: 2, 11: 5, 13: 4, 14: 1, 15: 2, 29: 1, 21: 1}"
6e-05,25,7047,"{1: 5552, 2: 889, 8: 20, 5: 52, 3: 312, 18: 2, 4: 128, 6: 37, 7: 25, 9: 7, 17: 4, 10: 8, 11: 4, 15: 2, 25: 1, 16: 2, 13: 1, 14: 1}"
6e-05,37,6891,"{1: 5396, 2: 869, 11: 5, 7: 25, 3: 296, 4: 138, 9: 15, 8: 11, 5: 77, 15: 2, 14: 2, 6: 36, 13: 5, 10: 3, 27: 1, 19: 1, 16: 2, 12: 2, 20: 1, 37: 1, 22: 1, 21: 1, 17: 1}"
6e-05,29,6934,"{1: 5406, 4: 132, 2: 917, 3: 299, 7: 31, 5: 53, 14: 5, 6: 43, 22: 1, 11: 10, 8: 13, 15: 1, 12: 7, 10: 5, 13: 1, 18: 1, 17: 1, 9: 7, 29: 1}"
6e-05,43,6996,"{1: 5479, 4: 129, 6: 43, 3: 297, 2: 911, 5: 64, 8: 12, 43: 1, 7: 26, 15: 1, 14: 2, 12: 4, 11: 5, 10: 10, 13: 2, 17: 1, 9: 7, 23: 1, 18: 1}"
6e-05,19,6992,"{1: 5508, 10: 10, 2: 866, 3: 305, 4: 121, 7: 21, 5: 76, 11: 10, 9: 10, 6: 35, 12: 3, 15: 2, 8: 17, 16: 4, 13: 3, 19: 1}"
6e-05,20,7059,"{1: 5554, 2: 921, 3: 293, 11: 8, 7: 21, 4: 116, 5: 58, 6: 35, 10: 7, 15: 2, 8: 24, 20: 1, 13: 2, 19: 1, 9: 11, 12: 3, 18: 1, 16: 1}"
7e-05,38,6518,"{1: 4968, 10: 10, 6: 53, 3: 281, 4: 141, 2: 880, 5: 90, 20: 2, 21: 2, 8: 15, 9: 14, 7: 37, 11: 5, 17: 2, 15: 3, 13: 1, 38: 1, 14: 2, 12: 5, 24: 2, 26: 1, 29: 1, 18: 1, 16: 1}"
7e-05,43,6475,"{1: 4974, 6: 38, 3: 309, 19: 3, 8: 28, 2: 815, 7: 33, 4: 144, 24: 4, 5: 79, 12: 2, 9: 12, 14: 1, 13: 10, 15: 4, 11: 2, 16: 1, 17: 2, 18: 2, 29: 1, 10: 8, 43: 1, 34: 1, 32: 1}"
7e-05,79,6464,"{1: 4961, 12: 6, 2: 849, 15: 4, 4: 146, 14: 6, 79: 1, 5: 71, 3: 285, 17: 5, 9: 16, 16: 6, 6: 36, 23: 1, 7: 28, 8: 16, 11: 9, 13: 3, 32: 1, 10: 9, 22: 1, 26: 1, 19: 2, 18: 1}"
7e-05,35,6567,"{1: 5024, 6: 46, 15: 2, 2: 869, 7: 21, 3: 309, 5: 78, 35: 1, 4: 148, 13: 8, 9: 9, 11: 12, 10: 10, 19: 1, 17: 2, 8: 13, 26: 2, 16: 2, 18: 2, 12: 3, 25: 1, 20: 1, 22: 1, 23: 1, 21: 1}"
7e-05,39,6540,"{1: 4994, 3: 316, 5: 75, 2: 857, 11: 6, 4: 157, 17: 5, 8: 26, 6: 36, 7: 21, 12: 5, 23: 1, 13: 5, 10: 9, 15: 2, 9: 13, 18: 3, 14: 2, 16: 2, 39: 1, 19: 2, 21: 1, 22: 1}"
7e-05,45,6556,"{1: 5056, 3: 251, 6: 48, 19: 3, 2: 885, 4: 110, 5: 98, 8: 21, 29: 1, 7: 27, 45: 1, 13: 5, 11: 9, 9: 14, 17: 1, 14: 5, 10: 6, 16: 2, 15: 3, 21: 2, 20: 1, 12: 3, 23: 1, 18: 1, 38: 1, 24: 1}"
7e-05,35,6509,"{1: 4982, 33: 2, 5: 81, 6: 47, 2: 866, 13: 6, 3: 300, 11: 7, 10: 10, 4: 130, 12: 7, 9: 8, 7: 29, 15: 5, 8: 13, 35: 1, 22: 1, 21: 2, 16: 5, 17: 3, 19: 1, 31: 1, 14: 1, 26: 1}"
7e-05,52,6422,"{1: 4907, 3: 281, 2: 867, 4: 138, 7: 28, 8: 26, 10: 16, 17: 1, 9: 8, 5: 71, 6: 41, 11: 7, 37: 1, 20: 1, 13: 4, 23: 2, 19: 2, 18: 3, 28: 2, 12: 4, 38: 1, 14: 1, 36: 1, 52: 1, 15: 4, 29: 1, 16: 2, 21: 1}"
7e-05,45,6544,"{1: 5005, 2: 869, 4: 136, 3: 323, 13: 5, 6: 35, 8: 19, 11: 10, 12: 6, 5: 71, 10: 10, 25: 1, 23: 1, 7: 25, 22: 2, 9: 10, 18: 2, 45: 1, 14: 3, 16: 2, 31: 1, 19: 1, 20: 1, 17: 4, 30: 1}"
7e-05,92,6349,"{1: 4832, 4: 140, 10: 7, 12: 5, 2: 856, 7: 26, 3: 290, 5: 70, 14: 5, 16: 4, 11: 9, 9: 12, 6: 43, 24: 2, 15: 7, 20: 3, 13: 4, 32: 1, 23: 2, 92: 1, 8: 23, 27: 1, 31: 1, 18: 3, 17: 2}"
8e-05,71,5978,"{1: 4452, 2: 798, 5: 81, 10: 13, 4: 152, 6: 54, 15: 4, 8: 24, 3: 300, 37: 1, 71: 1, 7: 33, 16: 1, 14: 6, 9: 15, 20: 1, 39: 1, 30: 3, 12: 7, 11: 10, 18: 4, 32: 1, 19: 3, 13: 5, 34: 1, 21: 1, 17: 2, 28: 1, 26: 1, 25: 1, 22: 1}"
8e-05,43,5969,"{1: 4420, 9: 19, 3: 298, 2: 835, 8: 23, 4: 141, 5: 79, 10: 14, 11: 11, 12: 6, 7: 34, 14: 5, 15: 5, 21: 1, 13: 9, 18: 2, 6: 45, 17: 5, 20: 2, 30: 1, 43: 2, 33: 2, 24: 2, 19: 2, 42: 1, 22: 1, 16: 2, 26: 1, 27: 1}"
8e-05,63,5977,"{1: 4463, 3: 301, 2: 800, 5: 69, 10: 10, 41: 1, 6: 41, 29: 1, 4: 159, 7: 29, 9: 18, 12: 13, 8: 29, 36: 1, 11: 5, 18: 4, 35: 2, 34: 1, 37: 1, 63: 1, 21: 1, 16: 3, 25: 3, 14: 8, 15: 3, 32: 1, 13: 4, 45: 1, 28: 1, 17: 1, 19: 1, 23: 1}"
8e-05,89,5959,"{1: 4480, 7: 24, 23: 1, 6: 57, 4: 161, 5: 79, 10: 8, 2: 778, 18: 4, 8: 20, 15: 5, 3: 271, 48: 1, 16: 5, 14: 4, 9: 14, 12: 11, 37: 1, 11: 12, 22: 2, 31: 2, 26: 1, 13: 6, 19: 5, 21: 1, 89: 1, 17: 2, 20: 1, 66: 1, 46: 1}"
8e-05,122,5977,"{1: 4497, 2: 811, 4: 130, 10: 12, 6: 50, 35: 1, 3: 268, 9: 20, 25: 2, 5: 78, 7: 32, 13: 8, 8: 18, 19: 1, 21: 4, 22: 4, 14: 4, 16: 4, 18: 3, 17: 2, 26: 1, 12: 7, 30: 1, 15: 2, 11: 11, 51: 1, 122: 1, 36: 1, 52: 1, 32: 1, 27: 1}"
8e-05,41,6032,"{1: 4549, 2: 770, 3: 293, 7: 36, 41: 2, 12: 11, 4: 134, 5: 86, 10: 9, 16: 6, 11: 5, 30: 1, 18: 3, 8: 28, 27: 1, 26: 1, 15: 5, 22: 1, 6: 50, 9: 18, 14: 7, 19: 1, 13: 4, 25: 2, 20: 3, 21: 1, 37: 1, 23: 1, 31: 1, 24: 2}"
8e-05,78,6135,"{1: 4634, 2: 822, 7: 27, 28: 1, 4: 147, 3: 281, 14: 4, 6: 55, 5: 64, 8: 18, 9: 22, 40: 1, 12: 6, 11: 13, 15: 4, 10: 14, 19: 2, 29: 1, 17: 2, 13: 5, 31: 1, 32: 1, 67: 1, 20: 2, 78: 1, 21: 2, 35: 1, 27: 1, 23: 1, 30: 1}"
8e-05,146,5982,"{1: 4452, 4: 135, 2: 820, 7: 27, 5: 77, 10: 16, 3: 299, 9: 18, 16: 3, 8: 21, 17: 5, 27: 1, 22: 2, 6: 62, 12: 5, 146: 1, 19: 4, 15: 4, 38: 1, 14: 3, 21: 1, 11: 12, 13: 5, 26: 3, 20: 1, 23: 2, 18: 1, 29: 1}"
8e-05,52,5989,"{1: 4473, 28: 2, 5: 74, 3: 286, 10: 13, 11: 7, 8: 31, 2: 822, 4: 139, 6: 51, 7: 38, 15: 5, 19: 2, 21: 1, 9: 10, 44: 2, 12: 6, 17: 4, 46: 1, 13: 7, 23: 1, 52: 1, 14: 2, 48: 1, 20: 1, 34: 1, 30: 1, 33: 1, 27: 1, 47: 1, 16: 2, 31: 1, 22: 1}"
8e-05,53,6031,"{1: 4496, 12: 8, 7: 31, 4: 170, 9: 17, 8: 21, 2: 811, 6: 57, 10: 13, 11: 10, 18: 6, 17: 3, 3: 286, 14: 4, 13: 8, 5: 70, 23: 1, 16: 2, 53: 1, 24: 1, 34: 1, 27: 2, 26: 1, 20: 3, 15: 5, 21: 2, 36: 1}"
9e-05,137,5499,"{1: 4047, 26: 4, 3: 273, 6: 38, 2: 798, 5: 85, 10: 16, 20: 2, 102: 1, 7: 32, 8: 21, 15: 7, 11: 7, 25: 2, 55: 1, 4: 109, 21: 2, 19: 3, 93: 1, 9: 18, 12: 8, 98: 1, 64: 1, 86: 1, 34: 1, 14: 6, 60: 1, 13: 3, 24: 1, 43: 2, 18: 1, 17: 2, 92: 1, 16: 1, 137: 1, 42: 1}"
9e-05,128,5521,"{1: 4083, 21: 1, 15: 3, 2: 744, 13: 7, 8: 24, 5: 90, 6: 48, 7: 39, 3: 252, 4: 140, 28: 1, 10: 10, 61: 1, 9: 18, 14: 6, 11: 11, 12: 10, 20: 5, 31: 2, 62: 1, 37: 1, 128: 1, 57: 1, 39: 1, 26: 2, 17: 1, 32: 2, 18: 1, 19: 2, 22: 2, 16: 4, 60: 1, 54: 1, 46: 1, 33: 1, 49: 1, 29: 1, 24: 1}"
9e-05,146,5556,"{1: 4125, 7: 35, 2: 747, 4: 132, 5: 77, 13: 13, 10: 17, 8: 27, 3: 268, 14: 3, 11: 13, 39: 2, 6: 36, 43: 1, 9: 15, 25: 1, 69: 1, 22: 2, 18: 1, 16: 6, 72: 1, 12: 7, 20: 5, 36: 1, 31: 3, 26: 2, 24: 1, 21: 3, 19: 4, 44: 1, 45: 1, 57: 1, 146: 1, 17: 1, 23: 2}"
9e-05,234,5417,"{1: 4015, 5: 84, 9: 15, 3: 273, 2: 723, 6: 45, 8: 24, 10: 14, 12: 11, 4: 115, 19: 3, 28: 4, 73: 1, 15: 6, 17: 5, 23: 1, 26: 4, 7: 31, 11: 5, 16: 4, 36: 1, 18: 6, 46: 2, 234: 1, 59: 1, 27: 2, 37: 1, 14: 3, 43: 1, 30: 1, 20: 5, 13: 4, 38: 1, 24: 1, 58: 1, 22: 1, 41: 1, 21: 1}"
9e-05,165,5399,"{1: 3963, 2: 732, 6: 55, 5: 82, 3: 268, 4: 135, 33: 1, 84: 1, 9: 13, 11: 14, 56: 1, 29: 2, 18: 4, 10: 20, 30: 2, 12: 8, 26: 1, 74: 1, 20: 3, 8: 25, 7: 28, 13: 9, 34: 1, 66: 1, 15: 7, 17: 3, 16: 2, 25: 1, 14: 6, 32: 2, 37: 1, 45: 1, 23: 1, 19: 1, 165: 1, 91: 1, 21: 1, 24: 1}"
9e-05,127,5442,"{1: 3984, 11: 10, 13: 6, 2: 756, 5: 79, 3: 268, 6: 57, 12: 5, 9: 13, 4: 129, 20: 7, 48: 1, 7: 31, 17: 4, 14: 7, 66: 1, 10: 21, 8: 26, 40: 1, 15: 5, 18: 7, 23: 2, 60: 1, 27: 2, 22: 3, 39: 1, 31: 2, 21: 2, 24: 1, 127: 1, 29: 2, 28: 1, 52: 1, 16: 2, 26: 1, 34: 1, 36: 1}"
9e-05,74,5597,"{1: 4139, 2: 751, 12: 10, 3: 256, 24: 1, 5: 82, 14: 3, 58: 1, 6: 56, 4: 143, 8: 27, 11: 15, 15: 3, 7: 49, 10: 13, 20: 3, 18: 3, 16: 4, 68: 1, 9: 11, 21: 2, 23: 2, 13: 3, 31: 2, 33: 2, 29: 2, 43: 1, 22: 1, 17: 1, 47: 1, 25: 1, 40: 1, 26: 1, 19: 1, 35: 1, 37: 1, 74: 1, 55: 1, 32: 1}"
9e-05,121,5541,"{1: 4087, 6: 45, 3: 289, 8: 26, 2: 727, 9: 16, 4: 133, 7: 35, 16: 4, 15: 9, 11: 18, 36: 3, 17: 9, 5: 94, 25: 1, 18: 2, 14: 5, 28: 1, 46: 1, 21: 1, 20: 2, 13: 6, 23: 2, 19: 1, 42: 1, 24: 4, 121: 1, 32: 1, 48: 1, 61: 1, 30: 1, 10: 8, 71: 1, 12: 4, 27: 1}"
9e-05,106,5554,"{1: 4127, 3: 270, 5: 77, 11: 9, 4: 132, 39: 1, 2: 741, 19: 3, 12: 7, 13: 10, 106: 1, 8: 23, 15: 2, 7: 39, 20: 3, 9: 24, 6: 40, 85: 1, 18: 1, 70: 1, 51: 1, 16: 4, 79: 1, 10: 9, 22: 2, 21: 3, 24: 2, 26: 1, 33: 1, 25: 4, 17: 2, 23: 1, 28: 2, 27: 2, 41: 1, 31: 2, 14: 2, 46: 1, 35: 1}"
9e-05,144,5551,"{1: 4098, 41: 2, 15: 8, 32: 2, 10: 10, 7: 35, 2: 764, 12: 9, 3: 281, 6: 40, 46: 1, 4: 135, 13: 8, 5: 83, 107: 1, 27: 3, 23: 3, 8: 19, 11: 9, 16: 9, 25: 2, 14: 2, 19: 3, 18: 3, 20: 2, 144: 1, 9: 6, 17: 2, 21: 3, 29: 1, 22: 1, 24: 1, 40: 1, 28: 1, 66: 1, 82: 1}"
0.0001,213,4964,"{1: 3646, 5: 82, 14: 4, 8: 21, 30: 1, 27: 2, 4: 97, 2: 678, 20: 2, 3: 256, 13: 9, 25: 2, 10: 16, 31: 2, 7: 28, 18: 2, 213: 1, 9: 13, 110: 1, 16: 3, 12: 7, 6: 44, 22: 2, 70: 1, 11: 7, 34: 2, 19: 4, 40: 1, 208: 1, 88: 1, 15: 9, 17: 5, 23: 3, 21: 1, 72: 1, 60: 1, 129: 1, 139: 1, 44: 1, 59: 1, 36: 1, 38: 1, 45: 1, 24: 1}"
0.0001,250,4953,"{1: 3630, 4: 134, 3: 237, 10: 17, 38: 1, 30: 3, 2: 652, 26: 2, 11: 7, 15: 3, 6: 62, 82: 1, 20: 5, 9: 21, 16: 7, 27: 2, 44: 1, 5: 62, 8: 18, 14: 4, 250: 1, 53: 1, 7: 36, 101: 1, 19: 2, 12: 9, 13: 6, 24: 1, 56: 1, 62: 1, 46: 1, 64: 1, 72: 1, 33: 3, 32: 3, 22: 1, 21: 1, 18: 3, 17: 4, 54: 1, 29: 1, 48: 1, 35: 1, 36: 1, 77: 1, 41: 1}"
0.0001,368,4996,"{1: 3672, 7: 30, 2: 676, 3: 224, 8: 24, 12: 16, 25: 4, 6: 42, 112: 1, 11: 10, 5: 80, 4: 134, 32: 2, 9: 14, 368: 1, 107: 1, 39: 1, 20: 4, 13: 9, 35: 1, 14: 9, 26: 3, 10: 8, 16: 1, 28: 2, 22: 4, 15: 4, 69: 1, 38: 2, 23: 3, 65: 1, 34: 1, 21: 1, 30: 2, 18: 2, 19: 1, 41: 1, 81: 1, 145: 1, 17: 1, 27: 1}"
0.0001,525,5007,"{1: 3677, 4: 114, 12: 5, 29: 1, 15: 5, 3: 252, 5: 65, 2: 698, 9: 20, 36: 1, 28: 2, 10: 24, 8: 19, 16: 5, 32: 1, 19: 2, 13: 8, 65: 1, 6: 40, 7: 25, 14: 2, 11: 10, 49: 1, 17: 2, 24: 1, 100: 1, 525: 1, 18: 1, 60: 2, 48: 1, 21: 1, 44: 1, 62: 1, 37: 1, 33: 1, 20: 2, 74: 1, 23: 1, 25: 2, 31: 1, 58: 1, 101: 1, 30: 1, 27: 1, 34: 1, 42: 1, 43: 1, 22: 1}"
0.0001,193,5059,"{1: 3746, 18: 4, 4: 128, 2: 704, 5: 60, 8: 26, 70: 1, 32: 3, 15: 4, 10: 15, 6: 31, 24: 3, 7: 28, 3: 217, 93: 1, 19: 4, 13: 2, 23: 5, 26: 3, 47: 2, 68: 1, 54: 1, 9: 13, 14: 11, 16: 3, 38: 2, 11: 8, 27: 3, 58: 1, 22: 4, 41: 2, 12: 5, 37: 1, 193: 1, 20: 4, 59: 1, 31: 2, 36: 1, 50: 1, 39: 1, 25: 1, 130: 1, 28: 1, 21: 1, 17: 1, 40: 1}"
0.0001,869,4842,"{1: 3587, 99: 1, 2: 623, 3: 234, 4: 127, 19: 2, 5: 80, 25: 2, 17: 6, 8: 25, 33: 2, 15: 3, 10: 11, 6: 45, 9: 17, 69: 1, 7: 24, 14: 8, 12: 8, 24: 1, 16: 5, 53: 2, 50: 1, 11: 6, 18: 3, 40: 1, 13: 3, 43: 1, 35: 1, 20: 3, 46: 1, 30: 1, 869: 1, 21: 2, 23: 1, 300: 1, 45: 1, 27: 1}"
0.0001,292,5061,"{1: 3666, 2: 710, 3: 282, 8: 23, 7: 32, 4: 128, 20: 5, 10: 10, 12: 7, 5: 76, 39: 1, 6: 48, 25: 3, 36: 1, 204: 1, 14: 6, 292: 1, 44: 1, 9: 10, 15: 6, 18: 2, 56: 1, 19: 2, 11: 8, 47: 1, 31: 2, 21: 1, 23: 2, 13: 4, 40: 1, 28: 2, 22: 3, 17: 4, 16: 1, 30: 1, 78: 1, 41: 1, 54: 1, 32: 1, 33: 1, 110: 1, 66: 1, 60: 1, 46: 1}"
0.0001,725,5067,"{1: 3710, 16: 3, 3: 240, 14: 8, 2: 714, 15: 5, 4: 139, 23: 3, 6: 41, 5: 71, 40: 1, 7: 34, 11: 17, 124: 2, 8: 21, 725: 1, 9: 12, 10: 13, 19: 1, 17: 2, 18: 3, 26: 1, 28: 1, 13: 2, 27: 2, 25: 2, 12: 6, 37: 1, 22: 1, 24: 1, 29: 1, 50: 1, 44: 1, 21: 1, 45: 1, 43: 1, 33: 1, 90: 1, 36: 1}"
0.0001,390,4958,"{1: 3674, 11: 8, 7: 26, 54: 1, 5: 68, 3: 255, 15: 7, 8: 19, 2: 665, 13: 11, 45: 1, 9: 18, 10: 17, 4: 111, 24: 2, 39: 1, 6: 19, 390: 1, 27: 2, 12: 11, 107: 1, 144: 1, 22: 3, 25: 3, 32: 1, 50: 1, 19: 2, 20: 4, 80: 1, 174: 1, 30: 2, 94: 1, 21: 2, 26: 2, 51: 1, 34: 2, 28: 1, 43: 1, 63: 1, 41: 1, 16: 3, 14: 3, 36: 1, 37: 1, 18: 1}"
