p,max_size,num_components,sizes
0.0001,702,5049,"{1: 3765, 2: 658, 3: 241, 20: 1, 4: 130, 7: 30, 5: 60, 16: 8, 398: 1, 6: 48, 9: 12, 10: 15, 11: 10, 31: 1, 32: 1, 46: 1, 702: 1, 8: 23, 12: 7, 14: 6, 13: 6, 38: 2, 23: 2, 17: 3, 58: 1, 42: 3, 49: 1, 24: 1, 75: 1, 28: 1, 18: 3, 15: 3, 35: 1, 19: 1, 37: 1}"
0.00011,2384,4406,"{1: 3237, 16: 3, 10: 17, 3: 215, 5: 51, 2: 635, 7: 21, 4: 104, 11: 11, 8: 21, 15: 3, 27: 1, 9: 21, 6: 32, 39: 2, 13: 7, 17: 2, 14: 4, 18: 2, 89: 1, 22: 1, 12: 6, 19: 1, 40: 1, 20: 2, 23: 1, 26: 1, 30: 2, 2384: 1}"
0.00011,1430,4448,"{1: 3256, 11: 7, 3: 244, 6: 43, 2: 599, 5: 55, 147: 1, 369: 1, 19: 2, 14: 7, 8: 17, 7: 31, 4: 119, 12: 7, 10: 9, 13: 7, 26: 1, 27: 1, 38: 3, 1430: 1, 20: 2, 16: 3, 30: 2, 33: 1, 31: 2, 23: 1, 35: 1, 15: 2, 9: 11, 18: 3, 24: 2, 130: 1, 28: 1, 77: 1, 34: 1, 22: 1, 17: 1, 21: 1}"
0.00011,2161,4509,"{1: 3343, 20: 3, 7: 30, 3: 227, 2: 618, 4: 108, 14: 4, 15: 5, 9: 14, 8: 19, 6: 30, 5: 59, 17: 2, 149: 1, 12: 6, 16: 3, 23: 2, 11: 9, 10: 8, 13: 5, 50: 1, 18: 3, 33: 1, 2161: 1, 90: 1, 27: 1, 32: 1, 37: 1, 31: 1, 25: 1, 21: 1}"
0.00011,1313,4602,"{1: 3379, 2: 636, 10: 12, 4: 96, 5: 66, 6: 44, 3: 241, 21: 3, 12: 8, 90: 1, 14: 4, 32: 1, 8: 22, 20: 1, 13: 5, 33: 1, 16: 5, 44: 1, 7: 25, 9: 13, 18: 4, 104: 1, 22: 3, 11: 13, 36: 1, 26: 1, 28: 1, 23: 2, 34: 1, 46: 1, 131: 1, 1313: 1, 94: 1, 35: 1, 15: 3, 116: 1, 109: 1, 37: 1}"
0.00011,1294,4496,"{1: 3326, 17: 4, 56: 1, 1294: 1, 2: 608, 7: 36, 32: 1, 34: 2, 6: 45, 4: 111, 15: 10, 11: 13, 5: 59, 8: 13, 9: 8, 3: 204, 95: 1, 25: 2, 50: 1, 27: 1, 12: 5, 23: 4, 14: 3, 20: 4, 18: 2, 10: 11, 30: 1, 39: 2, 24: 3, 13: 2, 29: 1, 19: 1, 92: 1, 79: 1, 37: 1, 26: 1, 251: 1, 83: 1, 28: 1, 43: 1, 41: 1, 22: 1}"
0.00011,2031,4473,"{1: 3305, 5: 64, 2: 610, 3: 220, 21: 4, 4: 111, 10: 10, 7: 32, 14: 6, 22: 1, 46: 1, 134: 1, 6: 31, 18: 3, 34: 1, 9: 10, 8: 20, 32: 1, 11: 13, 30: 2, 16: 2, 12: 5, 23: 3, 13: 2, 17: 4, 63: 1, 19: 1, 28: 2, 26: 2, 15: 1, 20: 1, 2031: 1, 33: 1, 54: 1}"
0.00011,1788,4597,"{1: 3437, 21: 2, 5: 52, 2: 577, 6: 44, 3: 233, 4: 119, 13: 6, 28: 1, 11: 8, 1788: 1, 15: 6, 24: 3, 19: 1, 8: 19, 12: 6, 35: 1, 26: 1, 31: 2, 46: 1, 33: 1, 14: 9, 7: 32, 10: 12, 30: 1, 17: 4, 23: 2, 22: 2, 16: 1, 9: 6, 27: 1, 43: 1, 99: 1, 20: 1, 47: 1, 40: 1, 75: 1}"
0.00011,1406,4505,"{1: 3319, 174: 1, 2: 655, 13: 6, 6: 48, 3: 203, 4: 87, 5: 67, 7: 28, 12: 10, 35: 1, 8: 14, 27: 1, 20: 2, 15: 8, 157: 1, 9: 14, 28: 1, 16: 3, 10: 8, 23: 1, 39: 1, 17: 2, 11: 4, 18: 2, 45: 2, 19: 1, 84: 1, 14: 3, 46: 1, 50: 1, 97: 1, 1406: 1, 22: 2, 38: 1, 149: 1, 90: 1, 25: 1, 94: 1}"
0.00011,1746,4490,"{1: 3309, 3: 223, 26: 1, 2: 605, 14: 8, 10: 9, 4: 99, 7: 22, 6: 42, 60: 1, 1746: 1, 15: 6, 22: 3, 23: 2, 5: 71, 9: 16, 32: 1, 28: 1, 167: 1, 8: 22, 13: 7, 18: 3, 12: 8, 19: 3, 122: 1, 11: 10, 33: 1, 24: 2, 20: 3, 16: 6, 43: 1, 41: 1, 21: 1}"
0.00011,1761,4545,"{1: 3359, 22: 2, 4: 97, 224: 1, 8: 17, 6: 33, 9: 18, 2: 632, 17: 4, 10: 1, 39: 1, 16: 5, 7: 26, 3: 232, 12: 3, 5: 60, 33: 1, 27: 2, 21: 4, 19: 6, 48: 1, 18: 4, 1761: 1, 20: 3, 15: 5, 11: 5, 32: 1, 13: 5, 14: 7, 25: 2, 26: 1, 24: 2, 55: 1, 30: 1, 23: 1, 31: 1}"
0.00012,3234,4109,"{1: 3083, 2: 568, 3: 189, 7: 23, 23: 1, 14: 4, 12: 3, 11: 9, 10: 6, 38: 1, 19: 2, 13: 4, 4: 90, 6: 30, 5: 50, 3234: 1, 24: 1, 9: 12, 8: 12, 15: 5, 17: 3, 22: 1, 16: 1, 18: 4, 20: 2, 30: 1, 39: 1, 29: 1, 25: 1}"
0.00012,2550,4156,"{1: 3065, 8: 18, 3: 194, 10: 8, 2: 568, 21: 3, 19: 4, 5: 65, 7: 29, 12: 3, 6: 31, 35: 1, 4: 114, 15: 5, 29: 1, 9: 13, 11: 7, 13: 3, 20: 3, 16: 2, 14: 4, 24: 1, 36: 1, 18: 2, 194: 1, 52: 1, 2550: 1, 40: 1, 26: 1, 25: 2, 49: 1, 27: 2, 17: 1}"
0.00012,2861,4174,"{1: 3128, 6: 35, 2: 581, 5: 59, 3: 165, 8: 13, 4: 108, 21: 1, 11: 5, 7: 14, 33: 1, 26: 1, 24: 1, 13: 3, 9: 14, 52: 1, 12: 3, 10: 14, 18: 1, 108: 1, 19: 3, 17: 2, 16: 2, 2861: 1, 20: 3, 15: 4, 34: 1, 14: 4, 53: 1, 44: 1, 37: 1, 32: 1, 38: 1}"
0.00012,2952,4100,"{1: 3025, 5: 50, 2: 574, 11: 4, 13: 6, 9: 16, 12: 10, 6: 35, 4: 118, 8: 18, 17: 2, 3: 191, 7: 19, 28: 1, 22: 2, 18: 1, 27: 2, 16: 6, 20: 1, 2952: 1, 10: 6, 50: 1, 15: 3, 21: 1, 44: 1, 63: 1, 14: 1, 24: 1, 31: 1, 38: 1, 23: 1}"
0.00012,3475,4028,"{1: 3047, 2: 528, 3: 181, 4: 104, 6: 36, 7: 14, 10: 8, 8: 16, 5: 43, 19: 3, 12: 5, 20: 2, 17: 1, 9: 16, 15: 4, 24: 2, 3475: 1, 21: 1, 11: 6, 37: 1, 29: 1, 16: 1, 14: 1, 13: 2, 18: 2, 28: 1, 27: 1}"
0.00012,3016,3905,"{1: 2882, 4: 106, 2: 536, 3: 189, 20: 2, 6: 35, 9: 14, 8: 12, 14: 3, 18: 4, 5: 42, 7: 27, 28: 1, 43: 1, 24: 1, 11: 9, 25: 3, 16: 3, 15: 5, 13: 2, 12: 5, 68: 1, 23: 2, 17: 2, 10: 7, 34: 1, 37: 2, 35: 1, 61: 1, 42: 1, 3016: 1, 22: 2, 29: 1, 39: 1}"
0.00012,2796,4142,"{1: 3121, 11: 13, 20: 2, 3: 191, 4: 84, 6: 38, 2: 551, 7: 18, 42: 1, 27: 2, 9: 7, 10: 11, 52: 1, 13: 3, 22: 1, 17: 2, 12: 4, 35: 2, 8: 16, 5: 51, 14: 3, 29: 3, 53: 1, 2796: 1, 25: 1, 31: 1, 15: 2, 59: 1, 44: 1, 16: 2, 18: 2, 69: 1, 28: 1, 21: 1, 24: 1, 37: 1}"
0.00012,2694,4102,"{1: 3040, 19: 3, 5: 68, 7: 20, 2: 537, 4: 117, 8: 11, 17: 1, 3: 206, 27: 2, 6: 32, 64: 1, 16: 4, 11: 5, 13: 8, 10: 10, 23: 1, 12: 2, 33: 2, 21: 2, 54: 1, 15: 4, 18: 3, 20: 2, 9: 8, 71: 1, 25: 1, 14: 4, 2694: 1, 26: 1, 28: 1, 38: 1, 29: 1, 123: 1}"
0.00012,3167,3996,"{1: 3020, 6: 30, 70: 1, 10: 11, 2: 514, 3: 191, 7: 20, 4: 78, 5: 58, 11: 9, 20: 1, 23: 2, 9: 7, 16: 3, 3167: 1, 12: 8, 29: 2, 13: 5, 40: 1, 8: 14, 30: 1, 32: 2, 19: 3, 28: 1, 35: 1, 21: 2, 27: 1, 22: 2, 24: 1, 15: 2, 14: 2, 37: 1, 17: 1}"
0.00012,3435,3893,"{1: 2945, 15: 4, 7: 22, 2: 501, 4: 90, 8: 11, 6: 30, 3: 191, 22: 3, 20: 1, 12: 8, 65: 1, 10: 6, 5: 42, 9: 9, 13: 4, 17: 3, 25: 1, 26: 1, 3435: 1, 50: 2, 16: 3, 49: 2, 18: 2, 14: 2, 24: 1, 21: 1, 11: 4, 29: 1, 23: 1}"
0.00013,4163,3635,"{1: 2724, 2: 494, 5: 57, 4163: 1, 3: 169, 13: 4, 9: 5, 4: 93, 6: 26, 7: 17, 8: 15, 11: 7, 22: 1, 10: 7, 33: 1, 25: 1, 16: 3, 30: 1, 18: 2, 14: 1, 23: 1, 28: 1, 15: 1, 17: 1, 19: 1, 12: 1}"
0.00013,4270,3677,"{1: 2788, 4: 75, 2: 514, 3: 167, 9: 5, 5: 34, 7: 24, 12: 5, 10: 8, 8: 9, 13: 4, 11: 8, 6: 23, 20: 2, 4270: 1, 17: 1, 16: 2, 24: 1, 15: 1, 14: 2, 18: 1, 37: 1, 29: 1}"
0.00013,4248,3635,"{1: 2753, 3: 170, 2: 486, 5: 54, 32: 3, 8: 13, 7: 15, 14: 3, 9: 5, 22: 1, 15: 2, 18: 1, 34: 1, 4: 81, 13: 1, 6: 24, 11: 2, 16: 2, 12: 7, 10: 6, 4248: 1, 21: 1, 17: 3}"
0.00013,4348,3624,"{1: 2770, 6: 31, 3: 190, 8: 7, 4: 86, 2: 447, 5: 40, 10: 4, 11: 6, 17: 3, 7: 17, 24: 4, 9: 7, 13: 2, 4348: 1, 16: 2, 23: 2, 21: 1, 27: 1, 19: 1, 14: 1, 12: 1}"
0.00013,4197,3609,"{1: 2737, 6: 28, 27: 2, 3: 170, 2: 476, 5: 37, 4: 95, 32: 1, 12: 3, 18: 1, 8: 8, 7: 11, 26: 2, 10: 9, 14: 1, 13: 1, 9: 14, 25: 1, 4197: 1, 17: 2, 20: 1, 69: 1, 48: 1, 16: 2, 15: 1, 22: 1, 11: 1, 19: 1}"
0.00013,3961,3739,"{1: 2801, 4: 95, 2: 518, 15: 5, 6: 17, 3: 189, 8: 14, 38: 1, 5: 34, 14: 6, 11: 5, 7: 22, 10: 7, 9: 9, 16: 2, 17: 2, 21: 2, 13: 2, 18: 1, 24: 1, 3961: 1, 20: 1, 19: 1, 59: 1, 28: 1, 12: 1}"
0.00013,4302,3650,"{1: 2744, 2: 504, 3: 184, 12: 4, 7: 14, 17: 3, 5: 45, 6: 26, 4: 85, 11: 4, 8: 13, 13: 6, 9: 7, 4302: 1, 10: 3, 14: 1, 24: 1, 18: 1, 15: 1, 19: 1, 47: 1, 20: 1}"
0.00013,4414,3604,"{1: 2755, 3: 182, 5: 38, 7: 10, 4: 83, 11: 6, 21: 1, 2: 464, 13: 4, 27: 1, 6: 26, 20: 1, 10: 4, 12: 1, 15: 4, 4414: 1, 22: 3, 23: 1, 9: 5, 8: 9, 17: 1, 18: 1, 14: 1, 30: 1, 26: 1}"
0.00013,3937,3642,"{1: 2722, 7: 22, 2: 507, 21: 2, 3: 169, 9: 8, 8: 11, 16: 2, 6: 36, 36: 1, 5: 49, 13: 4, 43: 1, 4: 77, 68: 1, 11: 4, 17: 4, 12: 4, 10: 7, 79: 1, 3937: 1, 19: 1, 14: 4, 18: 1, 23: 1, 15: 1, 24: 1}"
0.00013,4404,3617,"{1: 2764, 38: 1, 6: 28, 3: 171, 8: 16, 2: 464, 4: 84, 5: 44, 7: 14, 11: 3, 12: 1, 4404: 1, 10: 6, 15: 2, 9: 10, 13: 2, 17: 1, 14: 1, 21: 1, 26: 1, 41: 1, 33: 1}"
0.00014,4878,3288,"{1: 2486, 14: 2, 7: 12, 11: 5, 12: 4, 2: 445, 3: 179, 5: 34, 19: 1, 4878: 1, 6: 20, 4: 69, 10: 4, 21: 3, 8: 7, 9: 6, 23: 1, 40: 1, 16: 1, 17: 2, 13: 2, 27: 1, 15: 2}"
0.00014,5112,3231,"{1: 2496, 6: 25, 2: 416, 7: 9, 4: 58, 9: 6, 3: 147, 8: 9, 5: 44, 17: 2, 11: 2, 13: 5, 5112: 1, 10: 2, 19: 3, 12: 1, 14: 2, 35: 1, 28: 1, 27: 1}"
0.00014,5047,3217,"{1: 2457, 8: 12, 4: 74, 2: 403, 3: 172, 5: 34, 6: 20, 12: 1, 7: 10, 9: 13, 10: 5, 24: 1, 18: 1, 17: 1, 5047: 1, 19: 1, 14: 3, 20: 1, 15: 2, 13: 3, 11: 1, 23: 1}"
0.00014,5019,3260,"{1: 2508, 2: 415, 5019: 1, 7: 10, 3: 143, 4: 79, 6: 26, 26: 1, 9: 9, 5: 38, 8: 8, 12: 4, 17: 1, 24: 1, 13: 2, 10: 5, 22: 1, 11: 2, 15: 2, 23: 1, 14: 1, 16: 1, 19: 1}"
0.00014,4968,3247,"{1: 2490, 4: 72, 3: 141, 8: 9, 2: 419, 10: 9, 5: 37, 9: 12, 7: 17, 6: 24, 13: 2, 33: 1, 4968: 1, 12: 3, 22: 2, 14: 1, 11: 3, 19: 1, 15: 2, 40: 1}"
0.00014,5175,3276,"{1: 2522, 2: 428, 10: 6, 4: 68, 3: 162, 14: 2, 7: 8, 17: 1, 5: 38, 5175: 1, 9: 8, 8: 8, 6: 17, 12: 2, 13: 3, 16: 1, 21: 1}"
0.00014,5162,3179,"{1: 2436, 7: 19, 3: 138, 5162: 1, 8: 9, 5: 35, 2: 420, 6: 22, 4: 70, 10: 5, 12: 3, 11: 3, 18: 1, 14: 2, 16: 3, 15: 2, 21: 1, 9: 8, 20: 1}"
0.00014,5060,3225,"{1: 2456, 5060: 1, 2: 433, 14: 3, 5: 29, 3: 147, 11: 7, 10: 4, 9: 9, 12: 2, 8: 6, 4: 84, 6: 20, 7: 15, 25: 1, 17: 1, 26: 1, 13: 3, 19: 1, 18: 1, 15: 1}"
0.00014,5264,3148,"{1: 2413, 2: 413, 7: 13, 11: 6, 3: 153, 6: 28, 5264: 1, 8: 11, 10: 5, 4: 59, 14: 2, 5: 34, 9: 2, 12: 3, 20: 1, 13: 2, 24: 1, 17: 1}"
0.00014,5247,3170,"{1: 2457, 3: 140, 8: 12, 4: 65, 2: 396, 5: 43, 5247: 1, 6: 21, 7: 13, 11: 3, 13: 3, 16: 1, 14: 2, 9: 3, 12: 1, 10: 6, 22: 1, 41: 1, 18: 1}"
0.00015,5637,2940,"{1: 2304, 2: 354, 3: 120, 4: 52, 6: 32, 10: 3, 5: 40, 7: 14, 9: 6, 5637: 1, 19: 3, 8: 5, 14: 2, 37: 1, 23: 1, 11: 1, 13: 1}"
0.00015,5832,2902,"{1: 2258, 19: 2, 11: 6, 2: 399, 4: 51, 3: 121, 7: 7, 5: 26, 8: 3, 12: 1, 6: 15, 13: 1, 5832: 1, 9: 5, 17: 2, 14: 1, 10: 3}"
0.00015,5794,2863,"{1: 2216, 5794: 1, 6: 18, 3: 132, 2: 388, 15: 1, 11: 3, 7: 12, 8: 6, 4: 52, 9: 6, 10: 5, 12: 1, 5: 15, 19: 1, 16: 2, 24: 2, 18: 1, 14: 1}"
0.00015,5789,2923,"{1: 2277, 2: 386, 5: 37, 9: 8, 4: 46, 5789: 1, 3: 128, 6: 14, 10: 4, 12: 3, 15: 2, 8: 8, 7: 6, 17: 1, 13: 1, 11: 1}"
0.00015,5939,2807,"{1: 2212, 2: 332, 3: 137, 4: 52, 5: 26, 8: 7, 14: 1, 11: 4, 5939: 1, 9: 3, 6: 13, 7: 10, 10: 3, 12: 2, 46: 1, 13: 1, 19: 1, 15: 1}"
0.00015,5799,2791,"{1: 2153, 4: 41, 2: 362, 27: 1, 5: 29, 10: 4, 6: 11, 3: 144, 9: 4, 5799: 1, 31: 1, 7: 19, 11: 4, 8: 9, 12: 1, 24: 1, 15: 1, 14: 2, 29: 1, 13: 2}"
0.00015,5943,2803,"{1: 2171, 4: 48, 2: 388, 9: 7, 5943: 1, 5: 23, 10: 3, 7: 9, 3: 119, 17: 1, 8: 10, 13: 4, 6: 15, 16: 1, 11: 1, 12: 2}"
0.00015,5908,2785,"{1: 2149, 3: 132, 2: 366, 4: 50, 12: 1, 8: 8, 7: 15, 5: 33, 16: 2, 20: 1, 10: 4, 6: 16, 15: 1, 17: 1, 9: 3, 5908: 1, 11: 2}"
0.00015,5647,2980,"{1: 2308, 6: 17, 8: 8, 4: 63, 13: 2, 2: 411, 3: 115, 5: 27, 9: 6, 7: 11, 22: 1, 11: 2, 10: 3, 5647: 1, 26: 1, 12: 1, 14: 1, 24: 1, 18: 1}"
0.00015,5778,2843,"{1: 2182, 9: 3, 4: 63, 7: 13, 2: 394, 5: 26, 3: 119, 10: 5, 13: 1, 20: 1, 6: 17, 18: 1, 5778: 1, 15: 1, 8: 10, 25: 1, 11: 2, 17: 1, 14: 1, 19: 1}"
0.00016,6305,2670,"{1: 2118, 5: 22, 4: 42, 3: 121, 2: 335, 10: 6, 6305: 1, 7: 11, 8: 4, 6: 5, 12: 2, 9: 1, 23: 1, 11: 1}"
0.00016,6508,2507,"{1: 1971, 3: 100, 6508: 1, 2: 340, 4: 39, 5: 23, 8: 9, 11: 2, 6: 9, 15: 2, 7: 6, 9: 3, 13: 1, 10: 1}"
0.00016,6273,2579,"{1: 2006, 6: 14, 2: 329, 3: 120, 7: 12, 13: 1, 4: 49, 12: 2, 5: 28, 8: 8, 11: 1, 16: 1, 6273: 1, 15: 1, 9: 4, 10: 2}"
0.00016,6456,2523,"{1: 1976, 3: 109, 2: 329, 6456: 1, 4: 52, 9: 5, 5: 25, 6: 8, 8: 4, 11: 3, 13: 1, 10: 3, 7: 7}"
0.00016,6544,2499,"{1: 2001, 3: 107, 5: 25, 2: 296, 6: 14, 12: 1, 9: 1, 8: 7, 13: 3, 10: 3, 6544: 1, 4: 35, 15: 1, 11: 1, 7: 3}"
0.00016,6291,2591,"{1: 2039, 3: 118, 2: 311, 6: 17, 4: 46, 6291: 1, 5: 34, 11: 1, 8: 7, 7: 8, 9: 3, 14: 1, 10: 2, 16: 1, 25: 1, 13: 1}"
0.00016,6389,2561,"{1: 2014, 5: 17, 2: 312, 3: 124, 4: 54, 10: 2, 6389: 1, 8: 6, 7: 9, 9: 3, 6: 15, 12: 2, 15: 1, 13: 1}"
0.00016,6484,2521,"{1: 1997, 2: 314, 3: 105, 4: 49, 8: 5, 5: 19, 6: 12, 11: 3, 7: 9, 6484: 1, 9: 2, 17: 1, 10: 3, 12: 1}"
0.00016,6459,2555,"{1: 2035, 11: 1, 2: 313, 7: 12, 16: 1, 5: 25, 3: 111, 6459: 1, 4: 34, 8: 6, 12: 2, 9: 5, 6: 8, 10: 1}"
0.00016,6447,2566,"{1: 2038, 5: 31, 2: 322, 4: 49, 3: 98, 6447: 1, 8: 4, 13: 2, 6: 7, 10: 2, 16: 1, 7: 7, 9: 2, 11: 1, 12: 1}"
0.00017,6902,2280,"{1: 1818, 5: 17, 4: 43, 2: 297, 6902: 1, 3: 82, 9: 1, 14: 1, 10: 1, 6: 8, 7: 6, 8: 2, 17: 1, 16: 1, 11: 1}"
0.00017,6801,2358,"{1: 1875, 8: 3, 2: 303, 3: 98, 6: 10, 4: 29, 9: 2, 5: 31, 7: 4, 6801: 1, 10: 1, 13: 1}"
0.00017,6972,2244,"{1: 1805, 2: 282, 6972: 1, 3: 78, 7: 5, 9: 7, 8: 4, 4: 40, 5: 16, 12: 1, 11: 1, 14: 1, 6: 3}"
0.00017,6858,2333,"{1: 1872, 15: 1, 2: 294, 3: 86, 5: 18, 10: 1, 4: 39, 7: 3, 6: 12, 6858: 1, 8: 2, 9: 3, 17: 1}"
0.00017,6934,2261,"{1: 1832, 3: 90, 6934: 1, 4: 29, 6: 10, 2: 270, 31: 1, 7: 5, 14: 1, 8: 1, 5: 15, 9: 3, 30: 1, 18: 1, 10: 1}"
0.00017,6774,2339,"{1: 1878, 2: 279, 3: 91, 5: 19, 7: 6, 4: 37, 8: 4, 6: 10, 9: 9, 11: 1, 16: 1, 6774: 1, 12: 1, 10: 2}"
0.00017,6928,2305,"{1: 1844, 2: 293, 4: 32, 3: 100, 6928: 1, 5: 19, 6: 10, 8: 1, 12: 1, 9: 1, 10: 1, 13: 1, 7: 1}"
0.00017,6903,2277,"{1: 1834, 3: 100, 6903: 1, 2: 265, 6: 13, 9: 3, 4: 33, 10: 1, 7: 2, 8: 6, 5: 16, 11: 1, 20: 1, 13: 1}"
0.00017,6947,2210,"{1: 1756, 7: 13, 3: 81, 8: 4, 2: 282, 13: 1, 5: 15, 6947: 1, 6: 9, 4: 43, 10: 2, 12: 2, 9: 1}"
0.00017,6829,2322,"{1: 1847, 3: 97, 2: 294, 4: 43, 5: 15, 11: 2, 8: 2, 6: 8, 6829: 1, 9: 5, 7: 6, 15: 1, 10: 1}"
0.00018,7337,2085,"{1: 1714, 2: 255, 11: 1, 6: 11, 4: 21, 3: 68, 5: 13, 7337: 1, 9: 1}"
0.00018,7332,2011,"{1: 1633, 4: 20, 6: 9, 3: 77, 2: 241, 7: 4, 10: 3, 8: 3, 5: 19, 7332: 1, 11: 1}"
0.00018,7210,2123,"{1: 1720, 8: 2, 2: 261, 3: 84, 4: 26, 5: 14, 7: 3, 7210: 1, 6: 9, 10: 1, 9: 1, 12: 1}"
0.00018,7226,2081,"{1: 1673, 5: 13, 2: 272, 3: 75, 6: 7, 4: 26, 7226: 1, 12: 2, 8: 3, 13: 1, 9: 2, 7: 6}"
0.00018,7392,1982,"{1: 1613, 7: 3, 3: 77, 4: 29, 2: 230, 6: 8, 9: 1, 10: 2, 7392: 1, 5: 18}"
0.00018,7429,1977,"{1: 1626, 2: 236, 3: 61, 7429: 1, 4: 24, 5: 12, 11: 3, 6: 9, 9: 2, 7: 1, 14: 1, 8: 1}"
0.00018,7294,2037,"{1: 1665, 4: 30, 3: 72, 2: 234, 6: 9, 9: 2, 5: 16, 7294: 1, 14: 1, 10: 2, 11: 1, 7: 3, 19: 1}"
0.00018,7288,2044,"{1: 1648, 2: 257, 3: 73, 4: 32, 6: 9, 5: 13, 7288: 1, 7: 5, 8: 5, 9: 1}"
0.00018,7422,1991,"{1: 1656, 3: 68, 4: 29, 6: 9, 2: 209, 7422: 1, 5: 9, 8: 2, 12: 1, 7: 5, 13: 1, 9: 1}"
0.00018,7390,1982,"{1: 1607, 4: 23, 2: 249, 7: 9, 3: 70, 5: 13, 7390: 1, 8: 3, 12: 1, 9: 1, 6: 5}"
0.00019,7666,1817,"{1: 1499, 5: 15, 2: 215, 7: 4, 3: 56, 4: 19, 14: 1, 7666: 1, 6: 6, 8: 1}"
0.00019,7697,1800,"{1: 1488, 3: 39, 2: 220, 5: 12, 4: 27, 6: 10, 7697: 1, 13: 1, 9: 1, 8: 1}"
0.00019,7540,1849,"{1: 1493, 3: 78, 2: 224, 4: 20, 6: 5, 5: 19, 7540: 1, 9: 1, 7: 2, 8: 4, 13: 1, 12: 1}"
0.00019,7571,1859,"{1: 1523, 7: 2, 2: 214, 7571: 1, 4: 29, 6: 4, 3: 65, 5: 17, 17: 1, 9: 1, 10: 1, 8: 1}"
0.00019,7616,1871,"{1: 1545, 4: 34, 7616: 1, 3: 54, 6: 3, 2: 221, 5: 8, 8: 1, 7: 2, 9: 1, 10: 1}"
0.00019,7707,1817,"{1: 1509, 2: 206, 9: 1, 3: 67, 7707: 1, 5: 4, 4: 21, 8: 1, 7: 2, 12: 1, 6: 4}"
0.00019,7490,1889,"{1: 1526, 2: 229, 5: 10, 4: 36, 3: 70, 7490: 1, 9: 1, 8: 2, 10: 2, 7: 5, 6: 7}"
0.00019,7774,1751,"{1: 1450, 3: 56, 2: 201, 4: 24, 7774: 1, 5: 11, 6: 5, 7: 1, 10: 1, 8: 1}"
0.00019,7667,1824,"{1: 1518, 2: 197, 4: 20, 3: 67, 7: 4, 7667: 1, 8: 3, 5: 11, 9: 1, 11: 1, 13: 1}"
0.00019,7785,1764,"{1: 1489, 9: 1, 2: 175, 3: 59, 7785: 1, 5: 9, 7: 5, 4: 21, 6: 3, 8: 1}"
0.0002,7967,1597,"{1: 1318, 3: 51, 7: 1, 2: 191, 4: 23, 7967: 1, 13: 1, 6: 3, 5: 6, 8: 1, 12: 1}"
0.0002,8017,1585,"{1: 1321, 2: 179, 3: 55, 5: 6, 4: 17, 8: 1, 8017: 1, 6: 2, 7: 3}"
0.0002,8020,1593,"{1: 1322, 3: 49, 4: 16, 10: 1, 8020: 1, 2: 196, 5: 5, 7: 2, 6: 1}"
0.0002,8083,1607,"{1: 1392, 3: 38, 2: 158, 4: 10, 9: 1, 8: 3, 8083: 1, 6: 2, 5: 2}"
0.0002,7914,1666,"{1: 1403, 12: 1, 3: 57, 2: 172, 7914: 1, 8: 1, 7: 5, 4: 18, 5: 7, 6: 1}"
0.0002,7966,1609,"{1: 1337, 4: 20, 7966: 1, 2: 189, 3: 42, 7: 3, 6: 4, 5: 12, 8: 1}"
0.0002,8027,1627,"{1: 1380, 3: 39, 2: 186, 4: 12, 5: 2, 8027: 1, 6: 4, 7: 2, 8: 1}"
0.0002,8006,1582,"{1: 1324, 2: 181, 5: 16, 8006: 1, 7: 4, 4: 16, 3: 36, 6: 3, 10: 1}"
0.0002,7985,1591,"{1: 1334, 4: 20, 2: 173, 7985: 1, 3: 45, 6: 2, 9: 2, 5: 7, 7: 4, 8: 2, 11: 1}"
0.0002,7945,1629,"{1: 1360, 3: 52, 2: 183, 7: 3, 4: 16, 7945: 1, 6: 5, 5: 6, 12: 1, 8: 2}"
